YEAR,MONTH,STATEFIP,WTFINL,EARNWEEK2,AGE,SEX,OCC,UHRSWORKT,EDUC
2020,3,36,,1810.0,53,2,2310,40,123
2020,3,13,,770.0,39,1,4000,70,73
2020,3,28,,600.0,41,2,5420,40,111
2020,3,36,,2300.0,40,2,1005,40,125
2020,3,2,,1078.0,38,1,6765,997,60
2020,3,17,,1000.0,24,1,4820,45,111
2020,3,6,,760.0,31,2,2011,40,92
2020,3,11,,2120.0,30,1,440,40,123
2020,3,32,,1154.0,40,1,2310,40,123
2020,3,37,,800.0,22,2,3500,997,92
2020,3,1,,924.0,65,1,4760,40,73
2020,3,48,,162.0,37,1,3602,997,73
2020,3,2,,962.0,21,2,3423,37,81
2020,3,5,,1100.0,57,2,3620,40,111
2020,3,34,,1154.0,24,2,1410,40,111
2020,3,12,,102.0,18,2,4720,10,71
2020,3,19,,700.0,21,1,5860,40,73
2020,3,8,,962.0,52,1,310,40,111
2020,3,48,,2885.0,39,1,5100,45,123
2020,3,17,,1440.0,44,1,3870,40,81
2020,3,26,,384.0,28,2,2180,37,92
2020,3,41,,656.0,52,1,1555,40,81
2020,3,29,,490.0,35,1,9610,40,73
2020,3,18,,1192.0,43,1,8800,40,92
2020,3,6,,476.0,32,2,9350,40,81
2020,3,45,,500.0,66,1,4740,40,73
2020,3,26,,274.0,66,1,4220,997,91
2020,3,46,,1520.0,25,1,9640,997,73
2020,3,32,,2885.0,50,2,136,55,123
2020,3,1,,420.0,16,2,3655,40,81
2020,3,11,,106.0,21,1,4040,997,81
2020,3,12,,482.0,28,2,4435,25,81
2020,3,39,,380.0,76,1,9610,997,81
2020,3,34,,1600.0,39,1,845,40,111
2020,3,35,,2500.0,39,2,565,40,111
2020,3,40,,558.0,46,2,4110,40,73
2020,3,19,,720.0,57,2,4220,40,50
2020,3,48,,940.0,31,1,440,40,111
2020,3,54,,2760.0,45,1,3090,40,125
2020,3,6,,2300.0,36,1,51,40,111
2020,3,42,,1100.0,53,1,5740,40,73
2020,3,55,,600.0,44,2,5740,40,81
2020,3,48,,800.0,42,1,2865,40,111
2020,3,23,,120.0,21,1,4030,997,81
2020,3,38,,1540.0,66,2,650,50,81
2020,3,38,,640.0,52,2,2545,40,111
2020,3,4,,2700.0,38,2,350,40,92
2020,3,1,,1080.0,73,1,8740,40,81
2020,3,39,,1650.0,61,1,5550,50,81
2020,3,34,,60.0,21,2,2545,16,73
2020,3,30,,290.0,63,2,9122,37,73
2020,3,34,,2760.0,44,1,2634,40,92
2020,3,47,,872.0,54,1,4220,40,73
2020,3,12,,1000.0,27,2,440,40,111
2020,3,6,,1540.0,28,2,3255,40,111
2020,3,36,,840.0,25,1,7640,40,73
2020,3,29,,1540.0,57,1,4700,40,111
2020,3,49,,1270.0,41,1,9645,40,81
2020,3,38,,1000.0,49,1,140,40,73
2020,3,6,,600.0,52,2,4030,40,20
2020,3,37,,876.0,37,2,4510,40,73
2020,3,56,,376.0,68,1,9121,35,73
2020,3,26,,980.0,34,2,350,997,123
2020,3,26,,1960.0,48,2,230,50,123
2020,3,48,,410.0,28,2,3603,40,71
2020,3,34,,1100.0,60,1,6660,40,92
2020,3,48,,2060.0,32,2,2635,997,111
2020,3,6,,500.0,56,1,8950,55,60
2020,3,39,,2885.0,39,1,3090,45,124
2020,3,51,,470.0,22,2,3960,40,73
2020,3,6,,866.0,65,1,10,40,111
